loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.793111835401943921e+01,9.980155123244015547e-01,2.658253460941525503e+01,8.365772711936044770e-01
1.000000000000000021e-02,3.666748842653015572e+01,9.901384777906837575e-01,2.554462507417816397e+01,8.263267993380489784e-01
2.000000000000000042e-02,3.601044607154617694e+01,9.884913077952268701e-01,2.418074431760285492e+01,8.108079310290422503e-01
2.999999999999999889e-02,3.560356287116550789e+01,9.871133720095345288e-01,2.410234149514138835e+01,8.069417290201940096e-01
4.000000000000000083e-02,3.111032895601790926e+01,9.687737489744155939e-01,2.335948297489999348e+01,7.959985191306427899e-01
5.000000000000000278e-02,3.073166808937388339e+01,9.655102225418416007e-01,2.379975375790778713e+01,8.002638432340428709e-01
5.999999999999999778e-02,3.128911138866980224e+01,9.678609860851126179e-01,2.321932864987340750e+01,7.850660845506487462e-01
7.000000000000000666e-02,3.088187126847693165e+01,9.632138697882258738e-01,2.294700319261905008e+01,7.786447248467250892e-01
8.000000000000000167e-02,3.156045429089301990e+01,9.661978464605011085e-01,2.231093076761940708e+01,7.772837056549253276e-01
8.999999999999999667e-02,2.831950803975788489e+01,9.430038893743647455e-01,2.146719191589689046e+01,7.510999793882634501e-01
1.000000000000000056e-01,2.915220808432756172e+01,9.466653065189095662e-01,2.162358946314693142e+01,7.458507273245044145e-01
1.100000000000000006e-01,2.827169163161626386e+01,9.361335621380549865e-01,2.128959119739706551e+01,7.500657660062270971e-01
1.199999999999999956e-01,2.854721919504910588e+01,9.331323756813629799e-01,2.147255936756586081e+01,7.456125849103543146e-01
1.300000000000000044e-01,2.820805313539726100e+01,9.376098771108880570e-01,2.101635526308810853e+01,7.323001882554799336e-01
1.400000000000000133e-01,2.758257834086825255e+01,9.277874577738084438e-01,2.020822910857569710e+01,7.147710150600854462e-01
1.499999999999999944e-01,2.714416177121080409e+01,9.227169827894995402e-01,2.030937743297584674e+01,7.047397259710383999e-01
1.600000000000000033e-01,2.677417024205268348e+01,9.132049955834850019e-01,2.016946092196864626e+01,6.961056276542184618e-01
1.700000000000000122e-01,2.657640098135237494e+01,9.077411261209644699e-01,1.949515244597104768e+01,6.783299099518851349e-01
1.799999999999999933e-01,1.566570189379202915e+01,8.167115016818274897e-01,1.916027470742296046e+01,6.688929751118976030e-01
1.900000000000000022e-01,2.601561238318790359e+01,8.997570205172849001e-01,1.946119847810773607e+01,6.684160068034791236e-01
2.000000000000000111e-01,2.533309206381674983e+01,8.811421010887973138e-01,1.933718256118815404e+01,6.588927592458294624e-01
2.099999999999999922e-01,2.537069110170623532e+01,8.742141358259806205e-01,1.877152651682858320e+01,6.530367053685152134e-01
2.200000000000000011e-01,2.543527754639676530e+01,8.797088409243384310e-01,1.924656568716215688e+01,6.737948642863867965e-01
2.300000000000000100e-01,2.540013064418280919e+01,8.724259933826060687e-01,1.886578215164788475e+01,6.339490533114443549e-01
2.399999999999999911e-01,1.688692335516668308e+01,7.988333054288787594e-01,1.885028134374623221e+01,6.293388032474084293e-01
2.500000000000000000e-01,2.410620467706733194e+01,8.404388082503615465e-01,1.868441278266761785e+01,6.365577075455942646e-01
2.600000000000000089e-01,2.467011014059278295e+01,8.558664834481292116e-01,1.860578870425620224e+01,6.286778762877331950e-01
2.700000000000000178e-01,2.456716725138537782e+01,8.512749467640557954e-01,1.838682042803746342e+01,6.198823006700577842e-01
2.800000000000000266e-01,2.385160813434573157e+01,8.248841299230802449e-01,1.758069954933320034e+01,5.942977611274014027e-01
2.899999999999999800e-01,2.310990499660368158e+01,8.034552682601735496e-01,1.776616651712947004e+01,5.856366558648048448e-01
2.999999999999999889e-01,1.721808732288612731e+01,7.588415840256832468e-01,1.825374817446705222e+01,6.049807355192030611e-01
