loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.800086530164394105e+01,9.915957369149732692e-01,3.436840921589011089e+01,9.125395056324506760e-01
1.000000000000000021e-02,4.713086795931580752e+01,9.910342990498089977e-01,3.243734601389438410e+01,9.037124826035826120e-01
2.000000000000000042e-02,4.097914315333365920e+01,9.877763993341973636e-01,3.201936015823997650e+01,9.029364634046889160e-01
2.999999999999999889e-02,3.936040647135165926e+01,9.852589885309487316e-01,3.130353561478870006e+01,8.976848925635314558e-01
4.000000000000000083e-02,4.170391829462643329e+01,9.866555488478770952e-01,2.784361832373006251e+01,8.777898017132851338e-01
5.000000000000000278e-02,3.653480393585428487e+01,9.780536424218081448e-01,2.985265935302324536e+01,8.867599884523845732e-01
5.999999999999999778e-02,1.603739100559710096e+01,8.841048773250608228e-01,2.895870480705634264e+01,8.819012767819672804e-01
7.000000000000000666e-02,3.394201495904448507e+01,9.610348557619362575e-01,2.730597751627137626e+01,8.626173987776092345e-01
8.000000000000000167e-02,3.387997189945266996e+01,9.645118414612130486e-01,2.704526331143158302e+01,8.500607053416517900e-01
8.999999999999999667e-02,3.398677800509153002e+01,9.722443723925596748e-01,2.527552633679485794e+01,8.371083707515509786e-01
1.000000000000000056e-01,3.793772063540303918e+01,9.761191717274884105e-01,2.671329311212634039e+01,8.553885550007755967e-01
1.100000000000000006e-01,3.378383439513470421e+01,9.591412919595105890e-01,2.673137699099462949e+01,8.490606901656989614e-01
1.199999999999999956e-01,3.591660549298898530e+01,9.663799447172523038e-01,2.560657004426206029e+01,8.466235367237223697e-01
1.300000000000000044e-01,3.327408122394875534e+01,9.637207417606843407e-01,2.512714144890684054e+01,8.347809673449090306e-01
1.400000000000000133e-01,1.688857514703614981e+01,8.522300364585507770e-01,2.445869508274124371e+01,8.148509624382874739e-01
1.499999999999999944e-01,3.380296052433082110e+01,9.615746761249587271e-01,2.451810973426023565e+01,8.151262805087844399e-01
1.600000000000000033e-01,3.254330337938527151e+01,9.536370402070515340e-01,2.353859988077187637e+01,7.943846893492546579e-01
1.700000000000000122e-01,3.117323614134203424e+01,9.447940570655958270e-01,2.455801965691765787e+01,8.122270553964816564e-01
1.799999999999999933e-01,3.206283333697611937e+01,9.502371080269029768e-01,2.247417199408103983e+01,7.851538365521526508e-01
1.900000000000000022e-01,3.023697702947050914e+01,9.383401022951106674e-01,2.376620147699443919e+01,7.959969700450911789e-01
2.000000000000000111e-01,3.036321916089927697e+01,9.364150912280763128e-01,2.315196002840537304e+01,7.847097455012667089e-01
2.099999999999999922e-01,3.176995742974485637e+01,9.447894820129243421e-01,2.280610269383105404e+01,7.762114399572803691e-01
2.200000000000000011e-01,3.013813993432103189e+01,9.278365807318075253e-01,2.291166126924658286e+01,7.784535070829728953e-01
2.300000000000000100e-01,3.109360395104316410e+01,9.331719066999563106e-01,2.257215576149511804e+01,7.695943368966516873e-01
2.399999999999999911e-01,1.600283941325282200e+01,8.309517835782767037e-01,2.205206092386865180e+01,7.509088282897448119e-01
2.500000000000000000e-01,2.931604042874494098e+01,9.213644724330235514e-01,2.224465030873734861e+01,7.502938280486545208e-01
2.600000000000000089e-01,2.931461490309622064e+01,9.163687061013922053e-01,2.248198210418327037e+01,7.596819612614454931e-01
2.700000000000000178e-01,2.964831366373632449e+01,9.125642424823284804e-01,2.180192251862783337e+01,7.293781554969355208e-01
2.800000000000000266e-01,3.091625408783272633e+01,9.256498377977111502e-01,2.155027121340768304e+01,7.275083995823298233e-01
2.899999999999999800e-01,3.007314016570212445e+01,9.240409530483706391e-01,2.186768282707799571e+01,7.426803063917520875e-01
2.999999999999999889e-01,3.003968448647109213e+01,9.231806888660440968e-01,2.190912871956745533e+01,7.400988239867007934e-01
