loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.792076719482588487e+01,9.973488419260684301e-01,2.853475122203094827e+01,8.903855080840062941e-01
1.000000000000000021e-02,3.443219750523922329e+01,9.879948954714937726e-01,2.721091223486153865e+01,8.846952536995084104e-01
2.000000000000000042e-02,3.574095149334360855e+01,9.878040722015716257e-01,2.603770028772226297e+01,8.740977760380946870e-01
2.999999999999999889e-02,3.107313812444794365e+01,9.777665610071456515e-01,2.469111336092223752e+01,8.604607086142563865e-01
4.000000000000000083e-02,3.229974955448030016e+01,9.798730966157177535e-01,2.492451656792366066e+01,8.614286448509672622e-01
5.000000000000000278e-02,3.260356135344829909e+01,9.803669989413692498e-01,2.411217207533230678e+01,8.482989433897909493e-01
5.999999999999999778e-02,2.987628507007593015e+01,9.681984438580703012e-01,2.374977873687955210e+01,8.448767986104807060e-01
7.000000000000000666e-02,2.905601798632533672e+01,9.629223586788363543e-01,2.240805908600765406e+01,8.216129106008297489e-01
8.000000000000000167e-02,3.028688280692143309e+01,9.655905368425877766e-01,2.154668725265868190e+01,8.096150043073199187e-01
8.999999999999999667e-02,2.711570431146099835e+01,9.372196401565952018e-01,2.162173252804209156e+01,8.019016365161144577e-01
1.000000000000000056e-01,2.687728571190322668e+01,9.466859311529601806e-01,2.157414328164671602e+01,8.040695459389718414e-01
1.100000000000000006e-01,2.976332816157587757e+01,9.591925338776615684e-01,2.104820022299421822e+01,7.866459370645949578e-01
1.199999999999999956e-01,2.728584688155271110e+01,9.444042515194391862e-01,2.096791988050533107e+01,7.859223463969309265e-01
1.300000000000000044e-01,2.706793846607829579e+01,9.386514076121548200e-01,2.050628920124148635e+01,7.759171278475389677e-01
1.400000000000000133e-01,2.585095425495563859e+01,9.219662359207565494e-01,1.987379581380715976e+01,7.663119640726238080e-01
1.499999999999999944e-01,2.559134954205354262e+01,9.164533318291674391e-01,1.926912571369447136e+01,7.417543506790944541e-01
1.600000000000000033e-01,1.669894838476767518e+01,8.487178316300317826e-01,1.908980419707743081e+01,7.333034342645401438e-01
1.700000000000000122e-01,2.673194922260293183e+01,9.271283673696409933e-01,1.956846331182902787e+01,7.432045101993559610e-01
1.799999999999999933e-01,1.814620675493395296e+01,8.205217524278197727e-01,1.931937088540572134e+01,7.459952939882104062e-01
1.900000000000000022e-01,2.355810560626473915e+01,8.685579802337081157e-01,1.853980931976710522e+01,7.112614139878710162e-01
2.000000000000000111e-01,2.369924542445599513e+01,8.719986482418234930e-01,1.859289674374675272e+01,7.172887509734343636e-01
2.099999999999999922e-01,2.549668491061018472e+01,8.999818452549690484e-01,1.816596040160163739e+01,6.855509408583739805e-01
2.200000000000000011e-01,2.464598999632130827e+01,8.897428835527064761e-01,1.862554937078413886e+01,7.057510713044178319e-01
2.300000000000000100e-01,1.569180518840589578e+01,8.172454675599669649e-01,1.822052607387620426e+01,6.842099279920706989e-01
2.399999999999999911e-01,2.289642503541116270e+01,8.541098820072305919e-01,1.784423605156879233e+01,6.684330377617703212e-01
2.500000000000000000e-01,2.312035770621047703e+01,8.568362906101206766e-01,1.787312104829198134e+01,6.632382698217511585e-01
2.600000000000000089e-01,2.214319184812305252e+01,8.322436350588616749e-01,1.754175283599278856e+01,6.597634206043444527e-01
2.700000000000000178e-01,2.356113964689524209e+01,8.661820265453900047e-01,1.725215529455180885e+01,6.414599170002183159e-01
2.800000000000000266e-01,2.296803817726046759e+01,8.541834960320547898e-01,1.750947678805842145e+01,6.535568310855746077e-01
2.899999999999999800e-01,1.707086566924722959e+01,7.753269372458526654e-01,1.750131015348928543e+01,6.438111012184942750e-01
2.999999999999999889e-01,2.181916685316428683e+01,8.194105311889017251e-01,1.684100639452763915e+01,6.177648500954497912e-01
