loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.815994416549813195e+01,9.932257848862583449e-01,3.428734318262557679e+01,9.353817282059412319e-01
1.000000000000000021e-02,4.227630851487008101e+01,9.904205636180204442e-01,3.314437131310575779e+01,9.301862008490228151e-01
2.000000000000000042e-02,3.908893351666995386e+01,9.852936766945412650e-01,2.994964962083834692e+01,9.193892198164594909e-01
2.999999999999999889e-02,4.329145019291320295e+01,9.907301570342945674e-01,2.965632407654777580e+01,9.152634490782687315e-01
4.000000000000000083e-02,4.097372108429564008e+01,9.873831560482498881e-01,2.979621857169151156e+01,9.153876029947278781e-01
5.000000000000000278e-02,4.010736580435956000e+01,9.837610180354460221e-01,2.859941238440768885e+01,9.029222642887732020e-01
5.999999999999999778e-02,3.722973735733318534e+01,9.775965116678392297e-01,2.680915180756023730e+01,8.873009224482681923e-01
7.000000000000000666e-02,3.361207950114830822e+01,9.643521112789813499e-01,2.673659376342734362e+01,8.891361824546448744e-01
8.000000000000000167e-02,3.551289890470012267e+01,9.711589012582376723e-01,2.616658977794364205e+01,8.745903780859767274e-01
8.999999999999999667e-02,3.377392227845422212e+01,9.643261200029508151e-01,2.550196434947206825e+01,8.699593681249675470e-01
1.000000000000000056e-01,3.695461954414434302e+01,9.766565004152100160e-01,2.665923196966868858e+01,8.788209180730732761e-01
1.100000000000000006e-01,3.235364313321879592e+01,9.546696932671170366e-01,2.455971965044356864e+01,8.565230714435956294e-01
1.199999999999999956e-01,3.430765120122846668e+01,9.649177390447003511e-01,2.457836263215424566e+01,8.467745333434616439e-01
1.300000000000000044e-01,3.078896976548884368e+01,9.356165758618056882e-01,2.435165730280406393e+01,8.476749421631791792e-01
1.400000000000000133e-01,3.198473918333223054e+01,9.503314870955320570e-01,2.413045231594537654e+01,8.474603144817316469e-01
1.499999999999999944e-01,3.289013929292460858e+01,9.520372757196681190e-01,2.394320619143952555e+01,8.380302341574540348e-01
1.600000000000000033e-01,3.320053109466014973e+01,9.585221989911505425e-01,2.361818603023668217e+01,8.348854222767733146e-01
1.700000000000000122e-01,3.142815070183327464e+01,9.377323715671286308e-01,2.274455222535376819e+01,8.132117930464591860e-01
1.799999999999999933e-01,3.105165721534891077e+01,9.326470998815864499e-01,2.259930032442115433e+01,7.961605341291179139e-01
1.900000000000000022e-01,3.347115457163680929e+01,9.604902121989283836e-01,2.289701805584639871e+01,8.117241605685904249e-01
2.000000000000000111e-01,3.195592485945303096e+01,9.455073388303761872e-01,2.278692409783101525e+01,8.081190072740379593e-01
2.099999999999999922e-01,3.068739216160478733e+01,9.292457790940665818e-01,2.179856024189692221e+01,7.850411086043256326e-01
2.200000000000000011e-01,3.128117287473656205e+01,9.355126363917903864e-01,2.146499442884925557e+01,7.685536249240300100e-01
2.300000000000000100e-01,2.909495692787631071e+01,9.070160756358170984e-01,2.258787430921483264e+01,7.953722831033939178e-01
2.399999999999999911e-01,3.056217562813663591e+01,9.316980333015870697e-01,2.244024666197122286e+01,7.916337549230698656e-01
2.500000000000000000e-01,1.840953856775564645e+01,8.460601011457901111e-01,2.235452622916901078e+01,7.895620787133083018e-01
2.600000000000000089e-01,3.044696384947157952e+01,9.274056463347131185e-01,2.141819179609674961e+01,7.774760708931944819e-01
2.700000000000000178e-01,3.043299378840949743e+01,9.227202894740528238e-01,2.110325522100234252e+01,7.586980176986614088e-01
2.800000000000000266e-01,3.027873240981363878e+01,9.232361030642094457e-01,2.084764615015082256e+01,7.527614938103349695e-01
2.899999999999999800e-01,2.820577090055212466e+01,8.892603030746824011e-01,2.107415351008270221e+01,7.581831000167347234e-01
2.999999999999999889e-01,2.991619267149433625e+01,9.186580022484019947e-01,2.061715347127779552e+01,7.405377506506071184e-01
