loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.792828857211239324e+01,9.969937026222911447e-01,2.905167290206753705e+01,8.924462695980155402e-01
1.000000000000000021e-02,3.847225865223274610e+01,9.920468395789856508e-01,2.748647916195856666e+01,8.841966184645437821e-01
2.000000000000000042e-02,3.529849553855346755e+01,9.844028461196284718e-01,2.563857396275496114e+01,8.667596328698666808e-01
2.999999999999999889e-02,3.360553313630061467e+01,9.766514925386803325e-01,2.529707950107649950e+01,8.642843810042837305e-01
4.000000000000000083e-02,3.500377648305042300e+01,9.823197342335951987e-01,2.403278610071378196e+01,8.506885905215572086e-01
5.000000000000000278e-02,3.262690413546324208e+01,9.672897792832837460e-01,2.256987227919638173e+01,8.340385598953142798e-01
5.999999999999999778e-02,3.206824303297828038e+01,9.679476917269512759e-01,2.209908398641818295e+01,8.213633018454246093e-01
7.000000000000000666e-02,3.447346265311999503e+01,9.807313545852686110e-01,2.247818438061916169e+01,8.250712836283894402e-01
8.000000000000000167e-02,2.995071464478008849e+01,9.525226742407285618e-01,2.205989584581386254e+01,8.091222812507408158e-01
8.999999999999999667e-02,2.976123394650022647e+01,9.474582298469685915e-01,2.148709781511700356e+01,8.003446275615430094e-01
1.000000000000000056e-01,3.087217496807976502e+01,9.555786043917798844e-01,2.107847145388588928e+01,7.953233339627766574e-01
1.100000000000000006e-01,2.891077376063373450e+01,9.372516847162527531e-01,2.110604151942997220e+01,7.945932891344164029e-01
1.199999999999999956e-01,2.687873242071172797e+01,9.057606554491864914e-01,1.984351206895963671e+01,7.633432648477541660e-01
1.300000000000000044e-01,2.769628089845158314e+01,9.187370794356549686e-01,1.950728692285208865e+01,7.389880794827637933e-01
1.400000000000000133e-01,2.882790928826170074e+01,9.325613337976172978e-01,1.996720906553803943e+01,7.641789977265117662e-01
1.499999999999999944e-01,2.712586034987476324e+01,9.026227239955865178e-01,1.940573745820299933e+01,7.376364806971452692e-01
1.600000000000000033e-01,2.975261325618782848e+01,9.402519233296060541e-01,1.932165570241890151e+01,7.398659652071545301e-01
1.700000000000000122e-01,2.742039784905236033e+01,9.065399776085684147e-01,1.965665637951174460e+01,7.450408589098148626e-01
1.799999999999999933e-01,2.743498669336931428e+01,9.097959129006544243e-01,1.820903076007029853e+01,6.890089285285324605e-01
1.900000000000000022e-01,2.810134466697373057e+01,9.180308770778107252e-01,1.786283968604658412e+01,6.776906863202351028e-01
2.000000000000000111e-01,2.504504033153136788e+01,8.530365081406601213e-01,1.818783763846103341e+01,6.837109618501141517e-01
2.099999999999999922e-01,2.713252097854540068e+01,9.068904263775081631e-01,1.840238633911917532e+01,7.042249000998416220e-01
2.200000000000000011e-01,2.631286742376804000e+01,8.845259228143831365e-01,1.827193836753473732e+01,6.955487710515776412e-01
2.300000000000000100e-01,2.697333088824224490e+01,8.919642565991053873e-01,1.807416489285216699e+01,6.870873694825633260e-01
2.399999999999999911e-01,1.998572989390877197e+01,8.098410505133429860e-01,1.792334786173233141e+01,6.665114316796983962e-01
2.500000000000000000e-01,1.935046728245507808e+01,7.733743007291916660e-01,1.718956225806503468e+01,6.454115039843459911e-01
2.600000000000000089e-01,2.495209302866640400e+01,8.442078397724480654e-01,1.754128043651533986e+01,6.539506601138392883e-01
2.700000000000000178e-01,2.497499344741231653e+01,8.459430186719130162e-01,1.726432382928822307e+01,6.368162926441209848e-01
2.800000000000000266e-01,1.821062700417268942e+01,7.779554618197578320e-01,1.726377684625225584e+01,6.474211209932383415e-01
2.899999999999999800e-01,2.581398139179741946e+01,8.688723247923947346e-01,1.670653135426832137e+01,6.116573273008331091e-01
2.999999999999999889e-01,1.934392134318257561e+01,7.503284353043291333e-01,1.659327387345868843e+01,5.994049115447382947e-01
