loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.824734959574824700e+01,9.916090095157005235e-01,3.480629693268127056e+01,9.156590526757143467e-01
1.000000000000000021e-02,4.584720648684194089e+01,9.903490308444359291e-01,3.105312757831231707e+01,9.019870953836263139e-01
2.000000000000000042e-02,4.186568545251157047e+01,9.853819996228190270e-01,2.944228081007479858e+01,8.917438292296738789e-01
2.999999999999999889e-02,4.314249515836124260e+01,9.877740358637897566e-01,2.810683177144233014e+01,8.811718420951818453e-01
4.000000000000000083e-02,4.028928171439201833e+01,9.822194354298332541e-01,2.755809897813469078e+01,8.714421642672762758e-01
5.000000000000000278e-02,3.751367854143416025e+01,9.748213885125096567e-01,2.755312058837052902e+01,8.723519342996746140e-01
5.999999999999999778e-02,1.935401709751244681e+01,8.969941987894461954e-01,2.642155602478981180e+01,8.691654884017087079e-01
7.000000000000000666e-02,4.034965173593114685e+01,9.820762936272845467e-01,2.569146122003738597e+01,8.471292997229649124e-01
8.000000000000000167e-02,3.790238363789681131e+01,9.782792397711755905e-01,2.452341450699254466e+01,8.291089136314578889e-01
8.999999999999999667e-02,3.735139409725225335e+01,9.736424779070141922e-01,2.499817257137713966e+01,8.407435239281512152e-01
1.000000000000000056e-01,3.518318834203545009e+01,9.629380618520627655e-01,2.520318111340792555e+01,8.318272923442480149e-01
1.100000000000000006e-01,3.570215031483843404e+01,9.641416967147174999e-01,2.395920770570006653e+01,8.204996703948700398e-01
1.199999999999999956e-01,1.841098352885611078e+01,8.778312698822614557e-01,2.346384766296574753e+01,8.080276862858105646e-01
1.300000000000000044e-01,3.568098984923531702e+01,9.642091378536109536e-01,2.357920859423231974e+01,8.059753371768935137e-01
1.400000000000000133e-01,3.615899185756855161e+01,9.637073507809087447e-01,2.300128058541126563e+01,7.902271764414666722e-01
1.499999999999999944e-01,3.517647841467039171e+01,9.616779996822981680e-01,2.260725754503285145e+01,7.733210744463473452e-01
1.600000000000000033e-01,3.531301163823356859e+01,9.614762602455315665e-01,2.238837319164025530e+01,7.812654587449948673e-01
1.700000000000000122e-01,3.457950029358513433e+01,9.538172621613346669e-01,2.215698553166096119e+01,7.739800174660426135e-01
1.799999999999999933e-01,3.427228351703162446e+01,9.508823027870448863e-01,2.143424224057156025e+01,7.435281818544963173e-01
1.900000000000000022e-01,3.355348968977492774e+01,9.497763855129864874e-01,2.232838599539689639e+01,7.743036391210513791e-01
2.000000000000000111e-01,3.294922055129816130e+01,9.387961402472945194e-01,2.075210095079449246e+01,7.264229467904040893e-01
2.099999999999999922e-01,3.401758760909225998e+01,9.478278052803217335e-01,2.132315107992457470e+01,7.435986753013817951e-01
2.200000000000000011e-01,1.555588989469305794e+01,7.755792499974152321e-01,2.081941262974057238e+01,7.215492818770559147e-01
2.300000000000000100e-01,3.327074056699091642e+01,9.413576962405229009e-01,2.042188150367234556e+01,7.126662270114160203e-01
2.399999999999999911e-01,3.316830498748026912e+01,9.372241588087674158e-01,2.026095001350129010e+01,7.154659071043386609e-01
2.500000000000000000e-01,3.298548905952686283e+01,9.368787456492957411e-01,2.031849033482334121e+01,7.005673323474960190e-01
2.600000000000000089e-01,1.874784563582141317e+01,8.585518788885760921e-01,2.079800449681951591e+01,7.333328813609383268e-01
2.700000000000000178e-01,3.335114695560168485e+01,9.422606277669998143e-01,2.026461391270920487e+01,7.079197815812555694e-01
2.800000000000000266e-01,3.240592719499515795e+01,9.291089085225384681e-01,2.076575685213783018e+01,7.211011672942415629e-01
2.899999999999999800e-01,3.269448080895649156e+01,9.319127852174449167e-01,2.003278999387159232e+01,6.982715706692576019e-01
2.999999999999999889e-01,3.237948146292251295e+01,9.297751982553994488e-01,2.015310095015486169e+01,6.946081256593822362e-01
