loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.960621546979516694e+01,9.951248615213494908e-01,3.332329485956907433e+01,9.177193465258896010e-01
1.000000000000000021e-02,4.308262291960726742e+01,9.929282661345529837e-01,2.862988643357434881e+01,9.083098269473151021e-01
2.000000000000000042e-02,4.421483944099595931e+01,9.924208781327420459e-01,2.353113078671363922e+01,8.757145930300606063e-01
2.999999999999999889e-02,3.735440530530763681e+01,9.871948845911018289e-01,2.414825430039034870e+01,8.808624938294785656e-01
4.000000000000000083e-02,3.852688348385711237e+01,9.867164598796277497e-01,2.224057926948987784e+01,8.625812888748938256e-01
5.000000000000000278e-02,3.517700488697285266e+01,9.822235857666758996e-01,2.142588010364416462e+01,8.539471215694222073e-01
5.999999999999999778e-02,3.517898643614359599e+01,9.803994781754816756e-01,1.921887667235487029e+01,8.152780551006083565e-01
7.000000000000000666e-02,3.762513565233918200e+01,9.800510535488449193e-01,1.925865960140049538e+01,8.045412305978291156e-01
8.000000000000000167e-02,1.321281067981968249e+01,8.783285073835784829e-01,1.958669351055839769e+01,8.184350798212975953e-01
8.999999999999999667e-02,3.518673925762631427e+01,9.791588086356656229e-01,1.791964129267101669e+01,7.736894230224958813e-01
1.000000000000000056e-01,3.413758272115907033e+01,9.722274855157899687e-01,1.783380684600586008e+01,7.596053394007440396e-01
1.100000000000000006e-01,3.383280182609291131e+01,9.673704920268372254e-01,1.774713794602809713e+01,7.717689185178456812e-01
1.199999999999999956e-01,3.279378176047804061e+01,9.634780505143146767e-01,1.784588477411941909e+01,7.713259269680207142e-01
1.300000000000000044e-01,3.059873726972888974e+01,9.473221697185184587e-01,1.666868368824443536e+01,7.328711526575203417e-01
1.400000000000000133e-01,3.312306929025223212e+01,9.661694490171202077e-01,1.650342882348951790e+01,7.272172654051840546e-01
1.499999999999999944e-01,3.303838183840209552e+01,9.656067718101506436e-01,1.594239754337470494e+01,7.058987660474892456e-01
1.600000000000000033e-01,3.234046369755645145e+01,9.578864791475436569e-01,1.601690187292451029e+01,7.115961559343624288e-01
1.700000000000000122e-01,3.216093356604277176e+01,9.549180633743575841e-01,1.568640084406245627e+01,6.792920839965024271e-01
1.799999999999999933e-01,3.235318483593167826e+01,9.507525252294227736e-01,1.570206686976004029e+01,6.906288350070758364e-01
1.900000000000000022e-01,1.346394487989693545e+01,8.635424473996015093e-01,1.557581813492228839e+01,6.763289839618598087e-01
2.000000000000000111e-01,3.086746126884353103e+01,9.436680377347800297e-01,1.585640198288492719e+01,6.818036297478055063e-01
2.099999999999999922e-01,3.070946490906164783e+01,9.467495856622253347e-01,1.552647816494159905e+01,6.672005996569817521e-01
2.200000000000000011e-01,3.048113339534823751e+01,9.388597189726265446e-01,1.438706046469430433e+01,6.207285372859985273e-01
2.300000000000000100e-01,3.057375365240159937e+01,9.393418089318346098e-01,1.448093384756731794e+01,6.327837355754453164e-01
2.399999999999999911e-01,3.079104983032855714e+01,9.347215144154450428e-01,1.463307428522490028e+01,6.305003486501518095e-01
2.500000000000000000e-01,1.918433091158280845e+01,8.553139385721560961e-01,1.386824548085243691e+01,6.007377464750257579e-01
2.600000000000000089e-01,3.069968234514472627e+01,9.355968715663710578e-01,1.417781383510400417e+01,6.109214529129838311e-01
2.700000000000000178e-01,2.999756886143763523e+01,9.328472495326952663e-01,1.373315049444091684e+01,5.843432419178264947e-01
2.800000000000000266e-01,3.054461740504943634e+01,9.336194640292873048e-01,1.370127996767303813e+01,5.832889478508657133e-01
2.899999999999999800e-01,2.996859980996069339e+01,9.295003359561176959e-01,1.344300752285447942e+01,5.646003166538765550e-01
2.999999999999999889e-01,1.353126805310817815e+01,8.497018889969875088e-01,1.353952009003582901e+01,5.671582929383224281e-01
