loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.813163211149132792e+01,9.908130017274371371e-01,3.633960943688196465e+01,9.309037380735687428e-01
1.000000000000000021e-02,4.791935413024407353e+01,9.906117918155431523e-01,3.259254700754320311e+01,9.224964308326243367e-01
2.000000000000000042e-02,4.540698173155300310e+01,9.887396731920121695e-01,2.942611174306557942e+01,9.041385780994130039e-01
2.999999999999999889e-02,4.238732117217958262e+01,9.852752881306066080e-01,2.920990745858121329e+01,9.018056831990405309e-01
4.000000000000000083e-02,4.016926050691445482e+01,9.849745949860748695e-01,2.762951546354168642e+01,8.878006728443837980e-01
5.000000000000000278e-02,4.291516385078124785e+01,9.864978645122871592e-01,2.539085276030878546e+01,8.653913325763925579e-01
5.999999999999999778e-02,3.726825353863491586e+01,9.810493906864445890e-01,2.635846559392692612e+01,8.745915565830149063e-01
7.000000000000000666e-02,3.932968918638854916e+01,9.841417797341346363e-01,2.444763587730470178e+01,8.481672413048902959e-01
8.000000000000000167e-02,3.891612904815305285e+01,9.807339553690850309e-01,2.458221925052190926e+01,8.494710579100779313e-01
8.999999999999999667e-02,3.584396589517125165e+01,9.746260570899923925e-01,2.426385052547828991e+01,8.379343959111328344e-01
1.000000000000000056e-01,3.685361182631123711e+01,9.783162046724300787e-01,2.420367977391596170e+01,8.291795265934523984e-01
1.100000000000000006e-01,3.786292292453688191e+01,9.783028596123056753e-01,2.283079523811373335e+01,7.966147294402173840e-01
1.199999999999999956e-01,3.810557042768837022e+01,9.774197941101411269e-01,2.398070954629424634e+01,8.315265225230229484e-01
1.300000000000000044e-01,3.694683275674327660e+01,9.697716272893822653e-01,2.215783540388204997e+01,7.861338455031811057e-01
1.400000000000000133e-01,3.618066513690643404e+01,9.748576909000893354e-01,2.233778179063229885e+01,7.952740266491530319e-01
1.499999999999999944e-01,3.369848457349468873e+01,9.590008636016271737e-01,2.200159936428584473e+01,7.876054198875933610e-01
1.600000000000000033e-01,3.451821479773429502e+01,9.704862032157115515e-01,2.209695396425518155e+01,7.741511424598028768e-01
1.700000000000000122e-01,3.648771886803478992e+01,9.738799002773675939e-01,2.225687568115327508e+01,7.850019528455037809e-01
1.799999999999999933e-01,3.516536361738909022e+01,9.669682690348001541e-01,2.154727782589027640e+01,7.687330713427433793e-01
1.900000000000000022e-01,3.365502075003919913e+01,9.604905677308512857e-01,2.122353460499216737e+01,7.530827588403053996e-01
2.000000000000000111e-01,3.408315805706655510e+01,9.646575979569486092e-01,2.156119287302987075e+01,7.633132608280107645e-01
2.099999999999999922e-01,1.491508701538751680e+01,8.646355837007188017e-01,2.145306818728624165e+01,7.576876927142053297e-01
2.200000000000000011e-01,3.285325248792943853e+01,9.578577071022658096e-01,2.097539751140507391e+01,7.515552695058734800e-01
2.300000000000000100e-01,3.302222091625369416e+01,9.603981992677850243e-01,2.020867985043337001e+01,7.207871965475165510e-01
2.399999999999999911e-01,1.490409162872882121e+01,8.517692233747981012e-01,2.016493891653468040e+01,7.241693231135731823e-01
2.500000000000000000e-01,1.703336906902289272e+01,8.733660962289887530e-01,2.000235108253860972e+01,7.127015412884576406e-01
2.600000000000000089e-01,3.392750386555220388e+01,9.618998188503741220e-01,1.949170963343458851e+01,6.938446625351524233e-01
2.700000000000000178e-01,3.181680175483776907e+01,9.460356134326316502e-01,1.967614532948238093e+01,7.012055901957360282e-01
2.800000000000000266e-01,2.127141536464032257e+01,8.679335314116541911e-01,1.905300875581361097e+01,6.686812206574920259e-01
2.899999999999999800e-01,3.230048805163702497e+01,9.507130401253841567e-01,1.985252670204716807e+01,7.237097166201214016e-01
2.999999999999999889e-01,3.178581403702127517e+01,9.455516272477174633e-01,1.904244102295142227e+01,6.778168009124073690e-01
