loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.793023274379468290e+01,9.959594629821530987e-01,3.057473154721966324e+01,8.646552831422787966e-01
1.000000000000000021e-02,4.475440636568691843e+01,9.943426647283160058e-01,2.767973681881744952e+01,8.500848751187776164e-01
2.000000000000000042e-02,3.786690921423832634e+01,9.842818159779537224e-01,2.701853534003896939e+01,8.431857633784977102e-01
2.999999999999999889e-02,3.980598755729839411e+01,9.878377764959472840e-01,2.614644985994199544e+01,8.371541951327722275e-01
4.000000000000000083e-02,3.554809949501238719e+01,9.728864521137023935e-01,2.700749938949021356e+01,8.409497276208965921e-01
5.000000000000000278e-02,3.639920868371928009e+01,9.804693001914311923e-01,2.443251840247235762e+01,8.124935469431888713e-01
5.999999999999999778e-02,3.486062143716880968e+01,9.712529546909767220e-01,2.408584756477049282e+01,8.068626165864722921e-01
7.000000000000000666e-02,3.408310975447514579e+01,9.710514113140330528e-01,2.292191683309391692e+01,7.911870080400013050e-01
8.000000000000000167e-02,3.271829018859916260e+01,9.556152399521412599e-01,2.254381699354054192e+01,7.824592002922058365e-01
8.999999999999999667e-02,3.445840097042350436e+01,9.668172975610289654e-01,2.311021993181217482e+01,7.827353134174863669e-01
1.000000000000000056e-01,3.285768909366647250e+01,9.571618693999052185e-01,2.227240466919233342e+01,7.704049209442141999e-01
1.100000000000000006e-01,3.257059564594246126e+01,9.547863085371836034e-01,2.168454185250920929e+01,7.477146601986081054e-01
1.199999999999999956e-01,3.166847632735992590e+01,9.433923737628761019e-01,2.208234983680929986e+01,7.674021652721300102e-01
1.300000000000000044e-01,3.280058606023618495e+01,9.527661113374522595e-01,2.146931784605925841e+01,7.448137866840779386e-01
1.400000000000000133e-01,3.073837426467913048e+01,9.366854119067412610e-01,2.064622412758251357e+01,7.210655741384632833e-01
1.499999999999999944e-01,3.112475299944124174e+01,9.333898034173070402e-01,2.071218523529640620e+01,7.282394892086684335e-01
1.600000000000000033e-01,3.094424972373972338e+01,9.378356056918790706e-01,2.018433396082748033e+01,7.113748873429558417e-01
1.700000000000000122e-01,2.866971146672886306e+01,8.986573497514814823e-01,2.014248344602812324e+01,7.007578896809557589e-01
1.799999999999999933e-01,3.024597097443400529e+01,9.184357189615760531e-01,2.054175484197401858e+01,7.182280889894633313e-01
1.900000000000000022e-01,2.977654256385566001e+01,9.176245367086789395e-01,1.964625014664682823e+01,6.924934113989067441e-01
2.000000000000000111e-01,2.942391178098297289e+01,9.048520256631844561e-01,1.974014102285819305e+01,6.836843991406356125e-01
2.099999999999999922e-01,2.969989062299079663e+01,9.114614798209829116e-01,1.979076999812477666e+01,6.976256218979269841e-01
2.200000000000000011e-01,2.929330475614279194e+01,9.078581056226773249e-01,1.893452883486628124e+01,6.634077336634792710e-01
2.300000000000000100e-01,2.890322122813267924e+01,8.997247376931301055e-01,1.938033884819447650e+01,6.788149801785162696e-01
2.399999999999999911e-01,2.857694567488557524e+01,8.940268174896126574e-01,1.837706073473178492e+01,6.454260079581611853e-01
2.500000000000000000e-01,2.819543949284894779e+01,8.889688994325921634e-01,1.823557935725473556e+01,6.338458460242005765e-01
2.600000000000000089e-01,2.918656262205665186e+01,8.989345038294210832e-01,1.867128030609731226e+01,6.432563634800745334e-01
2.700000000000000178e-01,2.742435843073288382e+01,8.551476630619219144e-01,1.791944503305753855e+01,6.142968003894394569e-01
2.800000000000000266e-01,2.824287432024637923e+01,8.756945257595954990e-01,1.824476545151236451e+01,6.422315217150911248e-01
2.899999999999999800e-01,1.869203266375390626e+01,7.795155030189554468e-01,1.812830835128197648e+01,6.091305160220863435e-01
2.999999999999999889e-01,1.852190353289512004e+01,7.959062921437783933e-01,1.803794221538833753e+01,6.032394884593157425e-01
