loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.821190722583570221e+01,9.955291319503647429e-01,3.035674965200228570e+01,8.797659237961844569e-01
1.000000000000000021e-02,4.228026869571610291e+01,9.903114116348520346e-01,2.859136079520222040e+01,8.705099215486050701e-01
2.000000000000000042e-02,3.858563151603495101e+01,9.850640721249437348e-01,2.608976138828518643e+01,8.510906814667024145e-01
2.999999999999999889e-02,4.021966403503296306e+01,9.894109304333552624e-01,2.621305385903163199e+01,8.491984953235217626e-01
4.000000000000000083e-02,3.846430887942766930e+01,9.875363706352677795e-01,2.567482084137506604e+01,8.473996417624541921e-01
5.000000000000000278e-02,3.780695436013773758e+01,9.870829567796257642e-01,2.376520769633017949e+01,8.193899046856033541e-01
5.999999999999999778e-02,3.375310729111198071e+01,9.684283948876011294e-01,2.537631265189544649e+01,8.353856337161776890e-01
7.000000000000000666e-02,3.546855724727960535e+01,9.739560048719284602e-01,2.251367072410236858e+01,8.079696567132356178e-01
8.000000000000000167e-02,1.868512442828906472e+01,8.765243766553626470e-01,2.107934112076843647e+01,7.825035815635673631e-01
8.999999999999999667e-02,3.288422358738196039e+01,9.628905134275306255e-01,2.204690951475335936e+01,7.665626610174980371e-01
1.000000000000000056e-01,3.402499217618742477e+01,9.617751440487803949e-01,2.272747381507987541e+01,7.881393477493063848e-01
1.100000000000000006e-01,3.140366397985091140e+01,9.555153807242642294e-01,2.103309281040165502e+01,7.706078414107441210e-01
1.199999999999999956e-01,3.245757282778261299e+01,9.570065640263081264e-01,2.160125415833795159e+01,7.604000707513510759e-01
1.300000000000000044e-01,3.205858356070677218e+01,9.550951376073927301e-01,2.160998367074173387e+01,7.587615562830425375e-01
1.400000000000000133e-01,3.058158366746802415e+01,9.387496972687493502e-01,1.987904283028105468e+01,7.377308046071960890e-01
1.499999999999999944e-01,3.140288306412106678e+01,9.408264613931058840e-01,2.067173324229470310e+01,7.488005171181358888e-01
1.600000000000000033e-01,3.175738656620837119e+01,9.460453371522855592e-01,2.045723746897429507e+01,7.299504421279769950e-01
1.700000000000000122e-01,3.050573567625015059e+01,9.338845749808396546e-01,2.049544202163061968e+01,7.280574208597724306e-01
1.799999999999999933e-01,3.043657759431044241e+01,9.275355739341812900e-01,2.049228993290120115e+01,7.315774009855494642e-01
1.900000000000000022e-01,3.027637175509241985e+01,9.159646079547737463e-01,1.945041440358782481e+01,7.029808771211759622e-01
2.000000000000000111e-01,2.825595528117030497e+01,9.070375149441033402e-01,1.936190871065977248e+01,6.909226278741426031e-01
2.099999999999999922e-01,2.992568891109757345e+01,9.223758427741169941e-01,1.914044722690931977e+01,6.766635789712532878e-01
2.200000000000000011e-01,2.794730925760955387e+01,8.900008138451706019e-01,1.876598509908983559e+01,6.748568444009613865e-01
2.300000000000000100e-01,2.858285918860833874e+01,9.001704008355001507e-01,1.916948468149679030e+01,6.840219543904705324e-01
2.399999999999999911e-01,2.761348249965801926e+01,8.699710140902131572e-01,1.817803476150416486e+01,6.434770745970328498e-01
2.500000000000000000e-01,2.964421977455543100e+01,9.043566773337216036e-01,1.879556718612838750e+01,6.525429519024179559e-01
2.600000000000000089e-01,2.834861339907337552e+01,8.880276852243547125e-01,1.830955673189808053e+01,6.553317547155467215e-01
2.700000000000000178e-01,2.765652122251544753e+01,8.883891052363369623e-01,1.760026048604785842e+01,6.366515319782349858e-01
2.800000000000000266e-01,2.895318104932555769e+01,8.986336982991645073e-01,1.817336223026612885e+01,6.451197809910879100e-01
2.899999999999999800e-01,2.765988168177416995e+01,8.770480437689712749e-01,1.733422943522966975e+01,5.971645552696757120e-01
2.999999999999999889e-01,2.752641982700509971e+01,8.620334490037001585e-01,1.830466740915989732e+01,6.344547344172358772e-01
