loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.819084187572236289e+01,9.913858502309645937e-01,3.473291797764058231e+01,9.122906853073337041e-01
1.000000000000000056e-01,3.891479399602752665e+01,9.792833502760657227e-01,2.217930148089442000e+01,7.958228837809747658e-01
2.000000000000000111e-01,1.894132815505689038e+01,8.680329745998228708e-01,2.092180208169292044e+01,7.587333485190353999e-01
3.000000000000000444e-01,3.228492698117000259e+01,9.286292939328520957e-01,1.840655397480049160e+01,6.705994134885965297e-01
