loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.679622543718504346e+01,9.959948555243629542e-01,2.904189410690140249e+01,8.902331563838733475e-01
1.000000000000000021e-02,3.909010620246208134e+01,9.913360517072772327e-01,2.710539706437948482e+01,8.790655325157636923e-01
2.000000000000000042e-02,3.790220021260177674e+01,9.883876225766243806e-01,2.740191968282207213e+01,8.809971034935960565e-01
2.999999999999999889e-02,3.381242336767166989e+01,9.750887668864205438e-01,2.422268581120064113e+01,8.489348933743979808e-01
4.000000000000000083e-02,3.404084856414658589e+01,9.762723639584137691e-01,2.436416711277260205e+01,8.530793207358023933e-01
5.000000000000000278e-02,3.107128134568407418e+01,9.566799455413591557e-01,2.295741257854139761e+01,8.354165884562640976e-01
5.999999999999999778e-02,3.030397727760810866e+01,9.545916790553602427e-01,2.221294314842623052e+01,8.208050173052542364e-01
7.000000000000000666e-02,2.988374349212552517e+01,9.475474167648543222e-01,2.138318397874408916e+01,7.969800515292723153e-01
8.000000000000000167e-02,2.876166822495358133e+01,9.309145603058736063e-01,2.085840588526792416e+01,7.917162827512010947e-01
8.999999999999999667e-02,2.791246550258979298e+01,9.219033066272289689e-01,2.138921868388251823e+01,8.002237131213075783e-01
1.000000000000000056e-01,2.807510954408421355e+01,9.236064524609228776e-01,2.069367571056847055e+01,7.918975999054698178e-01
1.100000000000000006e-01,2.879646183841428808e+01,9.291535057897269967e-01,2.094477716193591377e+01,7.854223346399629158e-01
1.199999999999999956e-01,2.896542073738201495e+01,9.341504030271526871e-01,2.034788624269055646e+01,7.781997449832430691e-01
1.300000000000000044e-01,2.799479840742503711e+01,9.191829127945377875e-01,1.912232442516150854e+01,7.333763280866495426e-01
1.400000000000000133e-01,2.759764981607075285e+01,9.171917628976421488e-01,1.935174358595385513e+01,7.442153189495249732e-01
1.499999999999999944e-01,2.696843917610762986e+01,9.010559383535484690e-01,1.929580843404409762e+01,7.411073267757273264e-01
1.600000000000000033e-01,2.768920126921848279e+01,9.135000993221998877e-01,1.878003351624507289e+01,7.185116736168648544e-01
1.700000000000000122e-01,2.749991476336153795e+01,9.113344909729327314e-01,1.908645565083762463e+01,7.294901152521603427e-01
1.799999999999999933e-01,2.642384080063212437e+01,8.887701624772289533e-01,1.845414295728149057e+01,7.098371618654377713e-01
1.900000000000000022e-01,2.798291502560880772e+01,9.134453542579940022e-01,1.888977915546588093e+01,7.286997143989721870e-01
2.000000000000000111e-01,2.526718997616745099e+01,8.601769461837398545e-01,1.853095139951844672e+01,7.149331225214639041e-01
2.099999999999999922e-01,2.478643033023245579e+01,8.439570411492206548e-01,1.757911887071306722e+01,6.669827748807760637e-01
2.200000000000000011e-01,2.686951157453325578e+01,8.957993608592786927e-01,1.766359714313324858e+01,6.671223389898628398e-01
2.300000000000000100e-01,2.451297724286522595e+01,8.316005288783413496e-01,1.709854798525753949e+01,6.516183345730356402e-01
2.399999999999999911e-01,1.957990830908235580e+01,7.700484846803626882e-01,1.748489072574890457e+01,6.614383239048872154e-01
2.500000000000000000e-01,2.494319969818958427e+01,8.425954607830821175e-01,1.709855863195657832e+01,6.442047466906055675e-01
2.600000000000000089e-01,2.499488424332091085e+01,8.476171254625221030e-01,1.658130353551140956e+01,6.166060377542983417e-01
2.700000000000000178e-01,2.409841687877511873e+01,8.105470849603347849e-01,1.682906924394121617e+01,6.282956424181159738e-01
2.800000000000000266e-01,2.546984689900758880e+01,8.525586467402157531e-01,1.668580121137208394e+01,6.185530160323094995e-01
2.899999999999999800e-01,2.505831186382798847e+01,8.528216428380298586e-01,1.644866108177652819e+01,6.046765248153064265e-01
2.999999999999999889e-01,2.394773954387995119e+01,8.061695906509923626e-01,1.671530128496558021e+01,6.235299181307586425e-01
