loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.703420860372978751e+01,9.939561303487901567e-01,3.034677098635952319e+01,8.754272302240359016e-01
1.000000000000000021e-02,3.677847130941705700e+01,9.860559919570769383e-01,2.814074553333092510e+01,8.654506494436097208e-01
2.000000000000000042e-02,3.912621913656430905e+01,9.859559059369461531e-01,2.670454218523780554e+01,8.567255029603239036e-01
2.999999999999999889e-02,3.716774329949795685e+01,9.816252081699214926e-01,2.576661874288582865e+01,8.406083443583066694e-01
4.000000000000000083e-02,3.577695413621317755e+01,9.770308102429764441e-01,2.558825588035062637e+01,8.326974155063581184e-01
5.000000000000000278e-02,3.717380666829135549e+01,9.822857687824884110e-01,2.409881949307413507e+01,8.212120896609835796e-01
5.999999999999999778e-02,3.351043718723369125e+01,9.742391641471871422e-01,2.448664712641350860e+01,8.106043540070236864e-01
7.000000000000000666e-02,3.448877308106016670e+01,9.670443364992871160e-01,2.274279182523541110e+01,7.972683308858740103e-01
8.000000000000000167e-02,3.322216164357672596e+01,9.626784970697760402e-01,2.227824985874658026e+01,7.915184800318915137e-01
8.999999999999999667e-02,3.281991842940585968e+01,9.624941449654133008e-01,2.232018096380146233e+01,7.755090960540101941e-01
1.000000000000000056e-01,3.182602616070863277e+01,9.491393164638745050e-01,2.161804794535832031e+01,7.693561504337793622e-01
1.100000000000000006e-01,1.458502985987269795e+01,8.277859715591389111e-01,2.137755149557662193e+01,7.641364862339764530e-01
1.199999999999999956e-01,2.972621229437475776e+01,9.350497064126482849e-01,2.096536805952752403e+01,7.591887671509064406e-01
1.300000000000000044e-01,3.079544925782959552e+01,9.316758660216502008e-01,2.044246838800639665e+01,7.290755197187305248e-01
1.400000000000000133e-01,3.005133376175892934e+01,9.345693598045391459e-01,2.087680710662161943e+01,7.505426348608219556e-01
1.499999999999999944e-01,2.830809949468928721e+01,9.202602411644377201e-01,1.999689905982888405e+01,7.239194534789321622e-01
1.600000000000000033e-01,1.272563228684824743e+01,8.425891763855660743e-01,2.003919972252296589e+01,7.306229269755776246e-01
1.700000000000000122e-01,2.960620178560265714e+01,9.227639666421106890e-01,2.007598458877218306e+01,7.155835271149645349e-01
1.799999999999999933e-01,2.887203117066329838e+01,9.084069892092783149e-01,1.935868395378269469e+01,7.155048663410702448e-01
1.900000000000000022e-01,2.913797322819709024e+01,9.123146870557464760e-01,1.929422613290295274e+01,6.857088510975172246e-01
2.000000000000000111e-01,2.716013821415667806e+01,8.823939853266390410e-01,2.005567961718246295e+01,7.055771270684917384e-01
2.099999999999999922e-01,2.953649511977580744e+01,9.116677782007557296e-01,1.893538442080422257e+01,6.768191880315082010e-01
2.200000000000000011e-01,2.788970504979986131e+01,9.005015438687052898e-01,1.919707811614657089e+01,6.806971607960758952e-01
2.300000000000000100e-01,2.824044197234552200e+01,8.968178843710540304e-01,1.864278470021534062e+01,6.679344394821645770e-01
2.399999999999999911e-01,2.755784523875376735e+01,8.852656781443410949e-01,1.877853647650906765e+01,6.664102221614994770e-01
2.500000000000000000e-01,2.674687918221043503e+01,8.696575785433543482e-01,1.845111654378147747e+01,6.518014959602559388e-01
2.600000000000000089e-01,2.735741026352888738e+01,8.691047303983534533e-01,1.819145258573496449e+01,6.509640900469021441e-01
2.700000000000000178e-01,2.826813877645978934e+01,8.865965561070465739e-01,1.756768541353400437e+01,6.410810851128067034e-01
2.800000000000000266e-01,2.659946115743555239e+01,8.541570589982209194e-01,1.800625970588797387e+01,6.247099059323698578e-01
2.899999999999999800e-01,2.724304732645135374e+01,8.659303211854751936e-01,1.798056186044241755e+01,6.277342363377972356e-01
2.999999999999999889e-01,2.782691313134307265e+01,8.800188452840390640e-01,1.821373992612876336e+01,6.325792134732891592e-01
