loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.680977678606471670e+01,9.946635207126434119e-01,3.054650825153303018e+01,8.635981300266851735e-01
1.000000000000000021e-02,3.608614581586474657e+01,9.804265328887095121e-01,2.911348520981677979e+01,8.570698248744893499e-01
2.000000000000000042e-02,4.172600251619990530e+01,9.909821963692064806e-01,2.744445122637401369e+01,8.494000125197093132e-01
2.999999999999999889e-02,3.709869089396155317e+01,9.789565305763233694e-01,2.518762336749899688e+01,8.324647541995068289e-01
4.000000000000000083e-02,3.276556947504387551e+01,9.635970657512441528e-01,2.457705166417099818e+01,8.230574278256342913e-01
5.000000000000000278e-02,3.463826452031624115e+01,9.737591447406527267e-01,2.391430604693891127e+01,8.109574233200564919e-01
5.999999999999999778e-02,3.377926910081390588e+01,9.656599954700330057e-01,2.416090993521855168e+01,8.166601946871999695e-01
7.000000000000000666e-02,3.484930637476963966e+01,9.677892879841371032e-01,2.284406191894493787e+01,7.919153889850352179e-01
8.000000000000000167e-02,3.028345441701254970e+01,9.352628410832646288e-01,2.370672122559643213e+01,8.036690104039129201e-01
8.999999999999999667e-02,3.462433043205807337e+01,9.673661050540357520e-01,2.208025423438273549e+01,7.778461773197623552e-01
1.000000000000000056e-01,3.381511861611854641e+01,9.625613789798904696e-01,2.108424531453008655e+01,7.488616802287667573e-01
1.100000000000000006e-01,3.108237156084326358e+01,9.377008384221484638e-01,2.077622972812507740e+01,7.470024255740090879e-01
1.199999999999999956e-01,3.040509917545939089e+01,9.324007996572931667e-01,2.017909468646225335e+01,7.321219111199611662e-01
1.300000000000000044e-01,2.928809879145782702e+01,9.106684782881854234e-01,2.086712183704318235e+01,7.396244077995520749e-01
1.400000000000000133e-01,3.072706006005638812e+01,9.273900726551694840e-01,2.019794192828249990e+01,7.297607137595260030e-01
1.499999999999999944e-01,3.090823949356884270e+01,9.345102757539702765e-01,1.970515008772966681e+01,7.155966402328207687e-01
1.600000000000000033e-01,2.815268195437062104e+01,8.865362003225948362e-01,1.938627660100709704e+01,7.114522343545189864e-01
1.700000000000000122e-01,2.913946412223780413e+01,9.045184294103737477e-01,1.895696566206343903e+01,6.822091369242380132e-01
1.799999999999999933e-01,2.899593629376058246e+01,9.018795763344623628e-01,1.962022288708531548e+01,7.090104038232429851e-01
1.900000000000000022e-01,2.919349507146202782e+01,9.026917839382789799e-01,1.858723959033698492e+01,6.802542456527801429e-01
2.000000000000000111e-01,1.907879346914123531e+01,8.318663215418258261e-01,1.929757098124221670e+01,6.940508131232284716e-01
2.099999999999999922e-01,1.501339039745523962e+01,7.321608963990419161e-01,1.893185647996245891e+01,6.772974103808753199e-01
2.200000000000000011e-01,2.881283819382057132e+01,8.967001721516275614e-01,1.821615823578751048e+01,6.551131103781863141e-01
2.300000000000000100e-01,2.856995316974040833e+01,8.840632248333664123e-01,1.821994091257125348e+01,6.562446930470677842e-01
2.399999999999999911e-01,1.766811490728307987e+01,7.803763896427650115e-01,1.787342512906484870e+01,6.385543728008316045e-01
2.500000000000000000e-01,2.705351080562452992e+01,8.461908807418154765e-01,1.806172864758216434e+01,6.523203973596216620e-01
2.600000000000000089e-01,2.755749677916162099e+01,8.703421874623896715e-01,1.791120651396670027e+01,6.419278753636086243e-01
2.700000000000000178e-01,2.680229104284930486e+01,8.374792360672125291e-01,1.774468943354039396e+01,6.266328944943942991e-01
2.800000000000000266e-01,2.686047400761453474e+01,8.447933330651812289e-01,1.763006096538917333e+01,6.106438777345796209e-01
2.899999999999999800e-01,2.637244904421542202e+01,8.278859462901531074e-01,1.747959416428106749e+01,6.130082381787492762e-01
2.999999999999999889e-01,2.046226617247956270e+01,7.739156917910711142e-01,1.683476813990023402e+01,5.847110033522566752e-01
