loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.847945417278281610e+01,9.940614106474678913e-01,3.316399131697257729e+01,9.032128668420358331e-01
1.000000000000000021e-02,4.236385325560571857e+01,9.905696046054957016e-01,2.625685526571897555e+01,8.849085837038098701e-01
2.000000000000000042e-02,3.712267751058823961e+01,9.831490473319138834e-01,2.558994525849699642e+01,8.795461153547798894e-01
2.999999999999999889e-02,3.968494017154196030e+01,9.880522439788129718e-01,2.307665413170966673e+01,8.580929043432924397e-01
4.000000000000000083e-02,4.030122138360144390e+01,9.882124067460916761e-01,2.219566923458808461e+01,8.547535026810716419e-01
5.000000000000000278e-02,3.536937380883377102e+01,9.801391915239534569e-01,2.142372822609615568e+01,8.325231374329128409e-01
5.999999999999999778e-02,3.699650351368507017e+01,9.819393462922304527e-01,2.003566328936825869e+01,8.154598955584159148e-01
7.000000000000000666e-02,3.370740800793397085e+01,9.688634393806917489e-01,1.987161725922653588e+01,8.091611178628214107e-01
8.000000000000000167e-02,3.292103115706920846e+01,9.600100662103058236e-01,1.848743753817964119e+01,7.824204885948594645e-01
8.999999999999999667e-02,3.265232227603708282e+01,9.632025057088773323e-01,1.822106842972250362e+01,7.633401503740152583e-01
1.000000000000000056e-01,3.218472547863693478e+01,9.572379337961612888e-01,1.827935643219636574e+01,7.706635490587266935e-01
1.100000000000000006e-01,3.288058308665543450e+01,9.630559242416497634e-01,1.742083576635519648e+01,7.482021616190639435e-01
1.199999999999999956e-01,3.208038574879547866e+01,9.601429812774645578e-01,1.736801877781683245e+01,7.376109481750604546e-01
1.300000000000000044e-01,3.226339803017182106e+01,9.589045419755962696e-01,1.627173478078930913e+01,7.039982231552874836e-01
1.400000000000000133e-01,3.143790522083173755e+01,9.506211699296254203e-01,1.695695610578651369e+01,7.080024010865764161e-01
1.499999999999999944e-01,3.078210261205708775e+01,9.515651673032833324e-01,1.568769926451775554e+01,6.724462871081783311e-01
1.600000000000000033e-01,3.104296311083187376e+01,9.421482558041649469e-01,1.608890706487861877e+01,6.837043654546791638e-01
1.700000000000000122e-01,2.921123671012178491e+01,9.305833259017283199e-01,1.607748793866926107e+01,6.878742741791209481e-01
1.799999999999999933e-01,3.237369413640213622e+01,9.533969235509691664e-01,1.565557761049220176e+01,6.677926340317621445e-01
1.900000000000000022e-01,3.033755014283581630e+01,9.374421584583564337e-01,1.511232170648426987e+01,6.588594547388968437e-01
2.000000000000000111e-01,2.986078591724065490e+01,9.391074782534002408e-01,1.530311793564355050e+01,6.509441420179259419e-01
2.099999999999999922e-01,2.828753153018004340e+01,9.196006500408699935e-01,1.472248596718664082e+01,6.396159033945353345e-01
2.200000000000000011e-01,3.073620289671545791e+01,9.354566714623681056e-01,1.442666757275985745e+01,6.046716298090347719e-01
2.300000000000000100e-01,1.250971998342177116e+01,8.261896228353192706e-01,1.514289392769469167e+01,6.453526100316814285e-01
2.399999999999999911e-01,2.933052922347624047e+01,9.249033657193224123e-01,1.451907357041265278e+01,6.130194745727798322e-01
2.500000000000000000e-01,2.911922357174536558e+01,9.214802674070007305e-01,1.430816010033732333e+01,6.115310915241756184e-01
2.600000000000000089e-01,2.944046522794880616e+01,9.250493105888494272e-01,1.393618795371566321e+01,5.893637154871407269e-01
2.700000000000000178e-01,1.318409602941324543e+01,8.304179371417214073e-01,1.336907570648551768e+01,5.615705014484818625e-01
2.800000000000000266e-01,2.816570822130998764e+01,9.075377673899786002e-01,1.375365438873831003e+01,5.683548001889295875e-01
2.899999999999999800e-01,1.332298052720474502e+01,8.277738600663203661e-01,1.366144970922288415e+01,5.688111993326522287e-01
2.999999999999999889e-01,2.732008332467885481e+01,9.043530816663355454e-01,1.346855895933625824e+01,5.548441422590214556e-01
