loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.712091981265902518e+01,9.888471802435385705e-01,3.473291797764058231e+01,9.122906853073337041e-01
1.000000000000000021e-02,4.045896242092170070e+01,9.814462605110149118e-01,3.077645820916609409e+01,9.011806015655500213e-01
2.000000000000000042e-02,4.234310074121307110e+01,9.838300123392086372e-01,2.858484503806501564e+01,8.892890320185919961e-01
2.999999999999999889e-02,4.258393877115994997e+01,9.849788700954373866e-01,2.686256045485147936e+01,8.789109724083905562e-01
4.000000000000000083e-02,4.077376110951556143e+01,9.812416564635931815e-01,2.784737422700345988e+01,8.798989487593303904e-01
5.000000000000000278e-02,3.829113442862266936e+01,9.763744082307375116e-01,2.480179938328829792e+01,8.454798566722271369e-01
5.999999999999999778e-02,3.828583309856630024e+01,9.747691261305799770e-01,2.493740343415571914e+01,8.523556121808444352e-01
7.000000000000000666e-02,3.581799030338927281e+01,9.657083629317325668e-01,2.493504744789594696e+01,8.471349862250018292e-01
8.000000000000000167e-02,3.534968144437777227e+01,9.600000907680593665e-01,2.370933410689226051e+01,8.328155078218612006e-01
8.999999999999999667e-02,3.659170483917620942e+01,9.658165636915944097e-01,2.360400906917682917e+01,8.328773553316172196e-01
1.000000000000000056e-01,3.909146621173844238e+01,9.762792337076514615e-01,2.209032434918782428e+01,7.980213383786404213e-01
1.100000000000000006e-01,3.673714238512690855e+01,9.681132351774578426e-01,2.364437053744049422e+01,8.250391840414289524e-01
1.199999999999999956e-01,3.621548643162819303e+01,9.619395291166670248e-01,2.205078148787320558e+01,7.948421033674825109e-01
1.300000000000000044e-01,3.498570403144954355e+01,9.580801391483345641e-01,2.108219437966442911e+01,7.724793033964089117e-01
1.400000000000000133e-01,3.367035915806950896e+01,9.451294339665086142e-01,2.169885150336020274e+01,7.919226143937093676e-01
1.499999999999999944e-01,3.357967381998671641e+01,9.453012991313509694e-01,2.136281811445104495e+01,7.718147120014812179e-01
1.600000000000000033e-01,3.334759177806328978e+01,9.386631279175167153e-01,2.037077705560870200e+01,7.436715916920518810e-01
1.700000000000000122e-01,3.391867981188268999e+01,9.442052566879756137e-01,2.024173857658253439e+01,7.457344660729053887e-01
1.799999999999999933e-01,3.332653089712110983e+01,9.389583089787582049e-01,2.080779672364808164e+01,7.597910212830596421e-01
1.900000000000000022e-01,3.212952898290032522e+01,9.327097892942909363e-01,2.013285357179223212e+01,7.439300723029386164e-01
2.000000000000000111e-01,3.234253567368582338e+01,9.296188677022364510e-01,2.077536058868204094e+01,7.577990477515740286e-01
2.099999999999999922e-01,3.235055720729176443e+01,9.256186146179845586e-01,1.971857475698695694e+01,7.173499158801234232e-01
2.200000000000000011e-01,3.323362344929818590e+01,9.329831567950342963e-01,2.014343350096035934e+01,7.298815113413289479e-01
2.300000000000000100e-01,3.263007555646110802e+01,9.284401011446788976e-01,2.013755026091512335e+01,7.360868812967357178e-01
2.399999999999999911e-01,3.288130424804474217e+01,9.325007357778760664e-01,1.929427398690099693e+01,7.009577715535689757e-01
2.500000000000000000e-01,3.060689062236115277e+01,8.997788049853411296e-01,1.865106223823910270e+01,6.744761803834663505e-01
2.600000000000000089e-01,3.081851919501522730e+01,9.072188270359623496e-01,1.902805031721601026e+01,6.989048510623767640e-01
2.700000000000000178e-01,1.725076768878189526e+01,8.357743368849236409e-01,1.889156408202181936e+01,6.913405172822253419e-01
2.800000000000000266e-01,3.088286408982826714e+01,9.054854644505426764e-01,1.823643400132047532e+01,6.540542714975383642e-01
2.899999999999999800e-01,3.086054117019013532e+01,9.042708191354317249e-01,1.787612125098544524e+01,6.535498425048790194e-01
2.999999999999999889e-01,3.111755817830965043e+01,9.058806029533225113e-01,1.841471435434010928e+01,6.658171600498030696e-01
