loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.679379610422023461e+01,9.916360042088285809e-01,3.175987256895721700e+01,8.775635515964155253e-01
1.000000000000000021e-02,4.075662387618557858e+01,9.882441386222975410e-01,2.944151665753537017e+01,8.690625881046319945e-01
2.000000000000000042e-02,3.682161305293337961e+01,9.820295210464732305e-01,2.984732064491486980e+01,8.710039145411855310e-01
2.999999999999999889e-02,3.876461924717328600e+01,9.841038679111130394e-01,2.776106693015454141e+01,8.592362088852579793e-01
4.000000000000000083e-02,3.482528747878267694e+01,9.749776726852233955e-01,2.629309346993720453e+01,8.403670618122484059e-01
5.000000000000000278e-02,3.496291978934168299e+01,9.777008837288104770e-01,2.663348377779892928e+01,8.455644293829623903e-01
5.999999999999999778e-02,3.526212543553610601e+01,9.698517881985795341e-01,2.436731132042153192e+01,8.221687064848793858e-01
7.000000000000000666e-02,3.178372040758761585e+01,9.599277441899545238e-01,2.465244554461393989e+01,8.274407600441017197e-01
8.000000000000000167e-02,1.526015912926045104e+01,8.675545676703514397e-01,2.363379733879115818e+01,8.194427055890530776e-01
8.999999999999999667e-02,3.291878105218452788e+01,9.627819173767381278e-01,2.388714290358770143e+01,8.188713023257579993e-01
1.000000000000000056e-01,3.262835562958890279e+01,9.603980450687316095e-01,2.356541458641819275e+01,8.046493122469677850e-01
1.100000000000000006e-01,2.120511613330259593e+01,8.544221028910944371e-01,2.339242665695071466e+01,8.061072039330351435e-01
1.199999999999999956e-01,3.285313614924947956e+01,9.561192485746695668e-01,2.278845898742477871e+01,7.857113452090321859e-01
1.300000000000000044e-01,3.146503752651364394e+01,9.499961980123309280e-01,2.287819162358853475e+01,7.852788235795064020e-01
1.400000000000000133e-01,3.135179866616091360e+01,9.422882194599265793e-01,2.192738577211749629e+01,7.772355983646842548e-01
1.499999999999999944e-01,3.072354210891646176e+01,9.311375200571112565e-01,2.192869587463338377e+01,7.674134815835914614e-01
1.600000000000000033e-01,3.043554313341311257e+01,9.359218897536681903e-01,2.214427710026452090e+01,7.737955352153802480e-01
1.700000000000000122e-01,2.903482132209331468e+01,9.308742219488072012e-01,2.106955120426332684e+01,7.559313378894386704e-01
1.799999999999999933e-01,2.941298740916030852e+01,9.232472240776253836e-01,2.071922829494188534e+01,7.349095210137145395e-01
1.900000000000000022e-01,2.851093693965007247e+01,9.254240523468348911e-01,2.124295761789408488e+01,7.545642878125952135e-01
2.000000000000000111e-01,2.892484207625084380e+01,9.258512158391590807e-01,2.040144430017000943e+01,7.388963321951239616e-01
2.099999999999999922e-01,2.770634735125911519e+01,9.011361363396656055e-01,1.993517594257632197e+01,7.264153102112645977e-01
2.200000000000000011e-01,3.034793754484679340e+01,9.275646960608402436e-01,2.021129894966394147e+01,7.323452952126764393e-01
2.300000000000000100e-01,2.850110076617826138e+01,9.112134258782879082e-01,2.001904483840215576e+01,7.185142617043780433e-01
2.399999999999999911e-01,2.802159733738381320e+01,9.028330141221889704e-01,1.985001719460606040e+01,7.099672914383260425e-01
2.500000000000000000e-01,1.825039467758842804e+01,8.297001767083064250e-01,1.962257980571564886e+01,6.999538825199281833e-01
2.600000000000000089e-01,1.809032885630661625e+01,7.996152669939816660e-01,1.941062361628094024e+01,7.061972550386229619e-01
2.700000000000000178e-01,2.694416669977824697e+01,8.934945773678905079e-01,1.916283367490946432e+01,6.913914991365056606e-01
2.800000000000000266e-01,2.647072739183350265e+01,8.686826209374123309e-01,1.930913687955078473e+01,6.958556980920903579e-01
2.899999999999999800e-01,2.671429929004601433e+01,8.794162622751741099e-01,1.886299203184699991e+01,6.759122276552026465e-01
2.999999999999999889e-01,2.570305693515607359e+01,8.579768852310728500e-01,1.883463145930774019e+01,6.811184020233288505e-01
