loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.681129665197892820e+01,9.973444334826077062e-01,2.656883281823965604e+01,8.292772283959548574e-01
1.000000000000000021e-02,4.155251575605096548e+01,9.948262184691182286e-01,2.558288167208533892e+01,8.210152671665978952e-01
2.000000000000000042e-02,3.777575523657540657e+01,9.894644790733710948e-01,2.467399102045661508e+01,8.110645039547806912e-01
2.999999999999999889e-02,3.265453426936648640e+01,9.734164627640781164e-01,2.435416081317180215e+01,8.030481963277589230e-01
4.000000000000000083e-02,3.323093805392448985e+01,9.773121367341467414e-01,2.367549939424467098e+01,7.949889516997420413e-01
5.000000000000000278e-02,3.347935717448724802e+01,9.798337855020095022e-01,2.374396297348082996e+01,7.923771595226062336e-01
5.999999999999999778e-02,3.085514238164719103e+01,9.609736771859292981e-01,2.187665185187195505e+01,7.667368502325483393e-01
7.000000000000000666e-02,3.110326580700217391e+01,9.643540421245062610e-01,2.228192637915083196e+01,7.622826339246323579e-01
8.000000000000000167e-02,2.971596130242269140e+01,9.479392614160447872e-01,2.175170106735599518e+01,7.544591571620982151e-01
8.999999999999999667e-02,2.868140034873960076e+01,9.384252537954091977e-01,2.134541889946037685e+01,7.492499286350624566e-01
1.000000000000000056e-01,2.770175599317585480e+01,9.292044815294616678e-01,2.102303122125438506e+01,7.400225285644094209e-01
1.100000000000000006e-01,2.881331739764371846e+01,9.384471124887990845e-01,2.068426774664800050e+01,7.219059581576133811e-01
1.199999999999999956e-01,2.963807818237328462e+01,9.479673555125515128e-01,2.102271333636699779e+01,7.342236517186124800e-01
1.300000000000000044e-01,2.693300020755553703e+01,9.156555408887544489e-01,2.062611810386747635e+01,7.230935157192069918e-01
1.400000000000000133e-01,2.655761058366737259e+01,9.031500582270113320e-01,1.979850183641191919e+01,7.087564609839783758e-01
1.499999999999999944e-01,2.703466304524087604e+01,9.113639420136095959e-01,2.023193368790387581e+01,7.167140428051935741e-01
1.600000000000000033e-01,1.654751641303540666e+01,8.224210629921483440e-01,1.951499852409341784e+01,6.893805121825898885e-01
1.700000000000000122e-01,2.614710644818813989e+01,8.984107173275538427e-01,1.850577098387062591e+01,6.520289818154910710e-01
1.799999999999999933e-01,1.748740491987006607e+01,8.211901095325808697e-01,1.950053647352315878e+01,6.831478132217553290e-01
1.900000000000000022e-01,2.573980746245677764e+01,8.853468984241287254e-01,1.889378798019814809e+01,6.686636627841279212e-01
2.000000000000000111e-01,2.597019681694530036e+01,8.900993624476404298e-01,1.866353937514053030e+01,6.567309364629901891e-01
2.099999999999999922e-01,2.546179867518150530e+01,8.771656334577170311e-01,1.810127620061054188e+01,6.263306357710298755e-01
2.200000000000000011e-01,2.485502336248465127e+01,8.608713077000290648e-01,1.866137045345468337e+01,6.447184142845993060e-01
2.300000000000000100e-01,2.503757767177097548e+01,8.620646713885870005e-01,1.846847445057036197e+01,6.446214162081428389e-01
2.399999999999999911e-01,2.593056099613506049e+01,8.746638440595830843e-01,1.841666793406152891e+01,6.387917514556123999e-01
2.500000000000000000e-01,1.729379133037127048e+01,7.832084931180326448e-01,1.792758673827009730e+01,6.201548845773967589e-01
2.600000000000000089e-01,2.446120541776165780e+01,8.393395651380725075e-01,1.759659355153442206e+01,6.089430008603796685e-01
2.700000000000000178e-01,2.460368251049574440e+01,8.409257345793531568e-01,1.786218740434424390e+01,6.155974606764184065e-01
2.800000000000000266e-01,2.517193290469266032e+01,8.609518616496595333e-01,1.775368276298948089e+01,6.074050897939181626e-01
2.899999999999999800e-01,2.465786974894083983e+01,8.470123077305498072e-01,1.761179147849258086e+01,5.911347197728256120e-01
2.999999999999999889e-01,1.596151203073996072e+01,7.516733272068124583e-01,1.725137940330631281e+01,5.904611697678459059e-01
